GAGE_ID,elev_mean,slope_mean,area,p_mean,pet_mean,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff,soil_depth_pelletier,soil_conductivity,sand_frac,clay_frac,water_frac,carbonate,geol_permeability
1013500,250.3100,21.6415,2252.7000,3.1267,1.9716,0.9063,4.1673,3.3407,0.8046,0.3716,7.4048,1.1065,27.8418,16.2757,5.3767,0.0000,-14.7019
1022500,92.6800,17.7907,573.6000,3.6081,2.1193,0.9232,4.8714,3.7467,0.8639,0.3377,17.4128,2.3750,59.3902,12.0376,1.2269,0.0000,-14.2138
1030500,143.8000,12.7920,3676.1700,3.2744,2.0436,0.8782,4.6852,3.6655,0.8585,0.3514,19.0114,1.2898,32.2355,14.7768,1.6343,0.0521,-14.4918
1031500,247.8000,29.5604,769.0500,3.5230,2.0713,0.9548,4.9033,3.9908,0.8707,0.3986,7.2526,1.3733,35.2690,12.6541,0.6746,0.0263,-14.8410
1047000,310.3800,49.9212,909.1000,3.3231,2.0900,0.9906,5.0868,4.3010,0.8914,0.4455,5.3597,2.6152,55.1631,10.3036,0.0000,0.0000,-14.4819
1052500,615.7000,60.0518,383.8200,3.7309,2.0964,1.0000,4.8008,4.1243,0.8800,0.4773,1.3013,1.2630,30.5577,11.1433,0.0000,0.0000,-15.1658
1054200,472.3100,90.1395,180.9800,4.0671,2.1284,1.0000,5.0198,4.2836,0.8867,0.4551,0.9148,2.9191,58.3762,9.8513,0.0000,0.0000,-14.2147
1055000,423.1200,72.8130,250.6400,3.4942,2.0932,0.9916,5.0300,4.3192,0.8862,0.4714,2.1271,2.5500,53.8620,10.3463,0.0000,0.0000,-14.3578
1057000,215.5900,32.6845,190.9200,3.5705,2.1327,0.9415,5.3629,4.5871,0.9055,0.4587,3.7591,4.0304,69.0067,7.8176,0.0000,0.0774,-13.9903
1073000,37.6700,4.7504,31.3000,3.5030,2.2076,0.9008,4.9439,4.0351,0.8414,0.3791,19.9091,2.9487,56.5710,9.9673,0.0000,0.0000,-14.1000
1078000,346.9200,49.7718,222.4600,3.5629,2.1841,0.9873,5.3917,4.5053,0.8987,0.4249,3.6398,4.0254,69.1574,7.8483,0.0000,0.0000,-14.1061
1118300,36.7000,8.7654,10.3600,3.8974,2.3100,0.9330,5.5821,4.8076,0.9113,0.4692,12.9200,3.2710,60.6078,9.2734,0.0000,0.0000,-14.1000
1121000,141.5400,16.9939,70.2500,3.7196,2.3014,0.9652,5.4347,4.8232,0.9086,0.4976,8.9623,3.0682,55.8139,9.1667,0.0000,0.0000,-14.1000
1123000,120.1000,17.1489,77.8500,3.8242,2.3063,0.9141,5.4031,4.8061,0.9074,0.5069,9.0851,3.0795,52.7469,8.6894,0.0000,0.0000,-14.1000
1134500,450.5400,47.5435,195.1300,3.4674,2.0917,0.9963,4.9306,4.2736,0.8862,0.4768,4.0741,1.7560,42.5860,12.7242,0.0000,0.0000,-14.1198
1137500,784.8500,110.1306,228.5500,3.9842,2.1440,0.9972,4.5415,3.6582,0.8658,0.3935,1.5611,2.7777,53.8006,8.7281,0.0000,0.0000,-14.1000
1139000,373.3400,43.1080,246.3300,3.1345,2.1140,0.9737,5.0695,4.3895,0.8801,0.4673,3.7500,1.8868,44.4566,13.2941,0.0000,0.5217,-12.9220
1139800,518.1500,40.9990,22.8000,3.3035,2.1272,1.0000,5.2131,4.6331,0.8990,0.5260,2.5106,1.9363,45.3148,13.0982,0.0000,1.0000,-11.8000
1142500,346.6200,46.9258,82.1700,3.3147,2.1470,0.9799,4.8863,4.2371,0.8848,0.4934,2.8768,1.7786,43.4066,14.4386,0.0000,0.7645,-12.5655
1144000,459.8000,60.2926,1790.2400,3.4209,2.1577,0.9813,5.1640,4.4951,0.8972,0.4929,2.1068,1.8766,44.9595,13.0824,0.0000,0.3237,-13.3802
1162500,310.0700,18.4578,49.7100,3.7835,2.2575,0.9663,5.4027,4.1497,0.8845,0.3329,9.3231,3.6580,65.4868,8.7756,0.0000,0.0000,-14.1000
1169000,374.8900,49.5436,230.6400,3.9212,2.2525,0.9970,5.3781,4.6069,0.9041,0.4557,3.9556,1.7035,42.5078,12.6967,0.0000,0.0197,-14.2609
1170100,325.7100,49.3309,106.9900,3.8946,2.2428,0.9970,5.3841,4.6199,0.8998,0.4568,3.6541,2.0428,48.4324,11.7060,0.0000,0.3188,-13.7095
1181000,417.9300,33.2844,243.5000,3.8150,2.2661,0.9944,5.3860,4.7032,0.9031,0.4819,5.0275,2.0395,47.7675,12.1801,0.0000,0.0030,-14.1061
1187300,309.1000,38.2676,53.9200,3.9506,2.2806,0.9932,5.3972,4.5354,0.8913,0.4144,6.9565,1.8589,47.0130,11.5090,0.0000,0.0000,-14.8804
1195100,19.1700,7.9307,14.8400,3.6825,2.3540,0.9171,5.4696,4.8315,0.9071,0.4970,14.4400,3.0901,58.8885,9.5396,0.0000,0.0000,-14.1000
1333000,485.9100,74.7873,112.1600,3.7046,2.2127,0.9844,5.0106,4.4241,0.8949,0.5191,2.8378,1.5421,38.4417,14.3055,0.0000,0.3124,-13.3765
1350000,612.7800,88.2517,612.5100,3.8698,2.2460,0.9966,5.0526,4.3382,0.8868,0.4654,1.9241,1.2653,33.1547,12.7844,0.0000,0.0000,-15.2049
