  41.68
 150.00
  77666430
Year	Mnth	Day	Hr	dayl(s)	prcp(mm/day)	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
1980	1	1	12	32486.4	0.0	232.22	0.0	5.12	-8.48	332.46
1980	1	2	12	32486.4	0.0	229.4	0.0	4.88	-7.85	333.88
1980	1	3	12	32486.4	0.0	216.21	0.0	3.2	-7.3	325.33
1980	1	4	12	32577.29	0.0	234.69	0.0	0.24	-12.65	236.36
1980	1	5	12	32832.0	0.06	212.94	0.0	-0.12	-11.01	242.48
1980	1	6	12	32832.0	0.02	235.71	0.0	-1.72	-11.77	228.47
1980	1	7	12	32832.0	0.56	221.74	0.0	0.34	-13.49	235.72
1980	1	8	12	32832.0	0.15	259.86	0.0	5.52	-4.89	370.47
1980	1	9	12	32835.21	0.0	280.55	0.0	2.45	-10.4	274.95
1980	1	10	12	33162.54	0.0	265.76	0.0	-0.91	-11.73	237.35
1980	1	11	12	33177.6	13.52	223.69	0.0	1.5	-10.59	282.76
1980	1	12	12	33177.6	10.83	234.54	0.0	13.6	-4.86	403.6
1980	1	13	12	33177.6	1.91	287.55	0.0	6.63	-10.8	281.51
1980	1	14	12	33371.39	0.0	284.87	0.0	2.65	-9.03	335.63
1980	1	15	12	33523.2	0.0	258.08	0.0	10.03	0.58	588.73
1980	1	16	12	33523.2	0.0	264.47	0.0	8.58	-1.03	558.35
1980	1	17	12	33523.2	0.0	273.81	0.0	6.63	-3.46	476.6
1980	1	18	12	33853.74	1.15	166.02	0.0	3.95	-2.76	488.97
1980	1	19	12	33868.8	0.31	215.35	0.0	6.75	-0.74	559.03
1980	1	20	12	33868.8	0.0	234.19	0.0	6.52	-0.61	538.57
1980	1	21	12	33959.69	0.0	290.82	0.0	3.73	-7.3	358.75
1980	1	22	12	34214.4	1.96	222.03	0.0	1.34	-8.65	310.84
1980	1	23	12	34214.4	0.52	277.79	0.0	2.66	-6.82	329.2
1980	1	24	12	34217.61	0.0	296.53	0.0	0.58	-10.18	266.23
1980	1	25	12	34560.0	0.0	245.66	0.0	-2.85	-11.41	235.98
1980	1	26	12	34560.0	0.0	260.6	0.0	-2.12	-9.83	270.2
1980	1	27	12	34650.89	0.0	238.44	0.0	0.15	-6.41	328.55
1980	1	28	12	34905.6	0.0	308.87	0.0	1.88	-9.31	291.61
1980	1	29	12	34905.6	0.0	293.85	0.0	1.39	-8.17	289.44
1980	1	30	12	35099.39	0.0	320.37	0.0	-0.7	-12.47	219.51
1980	1	31	12	35251.2	0.0	315.88	0.0	-2.89	-13.75	188.01
1980	2	1	12	35251.2	0.0	319.3	0.0	-4.93	-15.56	165.64
1980	2	2	12	35596.8	0.0	321.1	0.0	-3.62	-14.4	176.5
1980	2	3	12	35596.8	0.0	293.17	0.0	-4.72	-13.09	185.72
1980	2	4	12	35687.69	0.0	346.29	0.0	-2.67	-15.65	164.4
1980	2	5	12	35942.4	0.0	349.48	0.0	-1.44	-14.81	168.97
1980	2	6	12	35942.4	0.0	356.86	0.0	-1.68	-15.64	168.92
1980	2	7	12	36288.0	0.0	357.19	0.0	1.6	-12.79	215.8
1980	2	8	12	36288.0	0.0	297.48	0.0	-0.11	-8.24	271.93
1980	2	9	12	36481.8	0.0	368.47	0.0	3.82	-11.62	230.63
1980	2	10	12	36633.6	0.0	368.65	0.0	2.08	-12.36	204.57
1980	2	11	12	36633.6	0.0	379.8	0.0	1.96	-14.15	186.6
1980	2	12	12	36979.2	0.0	370.09	0.0	1.9	-11.7	208.86
1980	2	13	12	36979.2	0.0	379.88	0.0	2.2	-12.33	209.13
1980	2	14	12	37324.8	0.0	375.07	0.0	3.18	-10.45	247.96
1980	2	15	12	37324.8	2.53	293.55	0.0	6.76	-7.04	321.94
1980	2	16	12	37655.34	12.13	247.51	0.0	2.71	-6.04	317.89
1980	2	17	12	37670.4	3.02	382.11	0.0	-0.46	-13.08	200.16
1980	2	18	12	37673.61	0.0	385.84	0.0	-3.08	-15.56	164.16
1980	2	19	12	38016.0	0.0	398.21	0.0	1.29	-13.12	195.89
1980	2	20	12	38016.0	0.0	415.96	0.0	8.13	-11.29	245.35
1980	2	21	12	38361.6	0.0	410.33	0.0	10.07	-7.24	332.2
1980	2	22	12	38361.6	6.65	301.9	0.0	9.37	-3.68	424.88
1980	2	23	12	38707.2	1.76	191.94	0.0	6.18	-2.96	441.58
1980	2	24	12	38707.2	0.0	325.35	0.0	5.54	-2.73	434.68
1980	2	25	12	39052.8	0.0	345.63	0.0	4.88	-4.24	382.82
1980	2	26	12	39052.8	0.0	375.53	0.0	4.1	-6.43	307.33
1980	2	27	12	39398.4	0.01	341.99	0.0	-0.39	-13.2	203.35
1980	2	28	12	39398.4	0.0	335.86	0.0	-3.09	-11.17	204.18
1980	2	29	12	39744.0	0.0	358.49	0.0	-3.04	-14.62	171.4
1980	3	1	12	39744.0	0.0	384.03	0.0	-6.46	-17.04	138.6
1980	3	2	12	40089.6	0.0	389.92	0.0	-4.24	-14.48	162.86
