  41.94
 870.00
   9630637
Year	Mnth	Day	Hr	dayl(s)	prcp(mm/day)	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
1980	1	1	12	32486.4	0.0	259.49	0.0	2.09	-7.5	337.17
1980	1	2	12	32486.4	0.0	266.8	0.0	4.21	-6.42	346.45
1980	1	3	12	32486.4	0.0	250.64	0.0	-0.0	-10.54	251.58
1980	1	4	12	32486.4	0.0	274.23	0.0	-4.86	-15.57	173.52
1980	1	5	12	32486.4	0.0	273.14	0.0	-4.46	-14.82	172.69
1980	1	6	12	32832.0	0.0	271.41	0.0	-4.28	-14.57	177.41
1980	1	7	12	32832.0	1.32	219.85	0.0	-3.24	-14.36	192.6
1980	1	8	12	32832.0	0.35	252.95	0.0	-1.71	-9.91	246.35
1980	1	9	12	32832.0	0.0	257.77	0.0	-3.81	-12.17	215.5
1980	1	10	12	32832.0	0.0	262.69	0.0	-5.54	-14.01	187.62
1980	1	11	12	33177.6	23.72	235.83	0.0	-1.89	-13.73	221.32
1980	1	12	12	33177.6	6.24	305.15	0.0	9.92	-5.77	353.16
1980	1	13	12	33177.6	0.0	266.4	0.0	3.56	-12.32	237.15
1980	1	14	12	33177.6	2.77	245.74	0.0	1.96	-11.59	289.73
1980	1	15	12	33199.06	0.73	191.69	0.0	5.86	1.3	562.96
1980	1	16	12	33523.2	0.0	282.44	0.0	3.99	-5.06	425.63
1980	1	17	12	33523.2	0.0	298.06	0.0	5.31	-5.36	403.48
1980	1	18	12	33523.2	0.0	280.34	0.0	5.14	-3.55	445.71
1980	1	19	12	33868.8	0.0	269.43	0.0	4.65	-3.35	445.61
1980	1	20	12	33868.8	0.0	196.73	0.0	1.91	-4.94	371.49
1980	1	21	12	33868.8	0.27	223.83	0.0	-3.66	-11.67	245.99
1980	1	22	12	34214.4	0.87	178.29	0.0	-4.79	-9.94	255.95
1980	1	23	12	34214.4	0.21	232.16	0.0	-2.69	-8.18	272.59
1980	1	24	12	34214.4	0.0	326.78	0.0	-3.61	-15.42	173.78
1980	1	25	12	34560.0	0.0	256.43	0.0	-7.61	-17.61	138.12
1980	1	26	12	34560.0	0.0	282.0	0.0	-7.13	-14.49	175.37
1980	1	27	12	34560.0	0.0	183.78	0.0	-6.91	-10.56	228.56
1980	1	28	12	34905.6	0.0	312.34	0.0	-1.68	-10.99	231.22
1980	1	29	12	34905.6	0.33	239.08	0.0	-5.12	-13.75	184.67
1980	1	30	12	34905.6	0.09	293.81	0.0	-8.9	-17.66	135.25
1980	1	31	12	35251.2	0.0	289.28	0.0	-10.39	-17.61	124.19
1980	2	1	12	35251.2	0.0	336.68	0.0	-11.06	-21.18	97.71
1980	2	2	12	35251.2	0.0	283.06	0.0	-13.94	-21.14	94.43
1980	2	3	12	35596.8	0.0	310.13	0.0	-11.38	-19.17	113.91
1980	2	4	12	35596.8	0.0	304.83	0.0	-8.75	-16.06	142.36
1980	2	5	12	35942.4	0.0	318.16	0.0	-8.69	-16.61	141.78
1980	2	6	12	35942.4	0.0	357.53	0.0	-6.12	-16.83	146.85
1980	2	7	12	35963.86	0.0	363.33	0.0	-3.44	-14.54	178.55
1980	2	8	12	36288.0	0.0	333.0	0.0	-3.23	-11.67	209.59
1980	2	9	12	36288.0	0.0	364.13	0.0	-3.15	-13.72	188.05
1980	2	10	12	36633.6	0.0	376.19	0.0	-2.25	-14.31	180.38
1980	2	11	12	36633.6	0.67	282.08	0.0	-4.29	-13.87	185.29
1980	2	12	12	36979.2	0.2	287.2	0.0	-3.82	-13.18	199.49
1980	2	13	12	36979.2	0.01	278.43	0.0	-5.24	-10.68	225.66
1980	2	14	12	37000.66	0.0	350.46	0.0	-3.53	-11.72	219.21
1980	2	15	12	37324.8	9.65	311.69	0.0	1.03	-11.75	224.15
1980	2	16	12	37324.8	9.21	296.18	0.0	-2.38	-12.12	206.2
1980	2	17	12	37670.4	1.75	399.51	0.0	-4.61	-15.61	157.59
1980	2	18	12	37670.4	0.0	367.74	0.0	-8.03	-17.82	133.19
1980	2	19	12	38016.0	0.0	420.97	0.0	-2.15	-16.14	176.42
1980	2	20	12	38016.0	0.0	415.74	0.0	5.03	-7.85	307.25
1980	2	21	12	38361.6	0.35	329.72	0.0	8.67	-6.73	364.0
1980	2	22	12	38361.6	4.91	264.17	0.0	5.31	-4.28	397.32
1980	2	23	12	38707.2	1.85	262.09	0.0	1.03	-5.81	373.2
1980	2	24	12	38707.2	0.15	232.52	0.0	0.52	-3.39	389.34
1980	2	25	12	39052.8	0.0	411.43	0.0	1.21	-9.28	260.45
1980	2	26	12	39052.8	0.08	336.75	0.0	1.18	-11.26	207.18
1980	2	27	12	39398.4	2.44	292.1	0.0	-3.85	-18.2	131.93
1980	2	28	12	39398.4	0.64	387.19	0.0	-7.14	-15.41	134.38
1980	2	29	12	39744.0	0.32	376.88	0.0	-8.78	-22.04	104.15
1980	3	1	12	39744.0	0.0	369.93	0.0	-12.53	-23.24	73.91
1980	3	2	12	39765.46	0.0	450.56	0.0	-11.37	-23.09	76.06
1980	3	3	12	40089.6	0.0	462.86	0.0	-9.15	-22.43	91.13
1980	3	4	12	40089.6	0.17	355.51	0.0	-3.5	-15.88	156.17
1980	3	5	12	40435.2	4.28	359.2	0.0	2.9	-10.29	232.65
1980	3	6	12	40435.2	1.12	446.3	0.0	2.22	-8.81	254.95
1980	3	7	12	40780.8	9.25	314.0	0.0	-0.3	-8.65	290.12
1980	3	8	12	40780.8	5.32	330.71	0.0	6.18	-3.19	406.63
1980	3	9	12	41126.4	0.76	457.42	0.0	8.23	-3.31	393.99
1980	3	10	12	41126.4	3.04	306.08	0.0	4.33	-6.8	322.29
1980	3	11	12	41472.0	0.8	451.55	0.0	4.56	-6.45	293.71
1980	3	12	12	41472.0	0.0	437.8	0.0	-0.23	-13.9	181.54
1980	3	13	12	41817.6	29.32	342.14	0.0	-5.91	-14.45	166.49
1980	3	14	12	41817.6	9.19	374.72	0.0	-3.01	-13.63	196.0
1980	3	15	12	42163.2	0.39	346.26	0.0	-2.09	-7.8	255.91
1980	3	16	12	42163.2	0.0	496.9	0.0	-2.97	-14.29	183.01
1980	3	17	12	42508.8	39.95	427.87	0.0	6.27	-13.18	244.63
1980	3	18	12	42508.8	10.81	384.35	0.0	8.8	-1.78	445.51
1980	3	19	12	42854.4	0.08	403.98	0.0	5.09	-5.53	368.45
1980	3	20	12	42854.4	5.82	398.69	0.0	6.3	-4.86	414.91
1980	3	21	12	43200.0	135.35	403.24	0.0	11.61	-0.56	542.36
1980	3	22	12	43545.6	41.37	373.9	0.0	8.63	-0.82	529.74
1980	3	23	12	43545.6	1.62	326.84	0.0	4.03	-4.43	414.05
1980	3	24	12	43891.2	10.93	355.91	0.0	4.08	-4.0	442.44
1980	3	25	12	43891.2	4.05	362.18	0.0	7.16	-1.3	505.92
1980	3	26	12	44236.8	0.31	285.61	0.0	4.12	-3.28	439.95
1980	3	27	12	44236.8	0.0	306.63	0.0	0.84	-3.34	434.59
1980	3	28	12	44582.4	2.87	391.51	0.0	6.19	-3.42	469.98
1980	3	29	12	44582.4	9.39	381.9	0.0	8.35	-0.7	562.4
1980	3	30	12	44928.0	2.27	233.48	0.0	6.23	1.09	602.89
1980	3	31	12	44928.0	0.48	280.83	0.0	4.88	-0.14	536.33
1980	4	1	12	45273.6	0.13	423.62	0.0	1.88	-5.42	391.7
1980	4	2	12	45273.6	0.04	441.23	0.0	8.9	-4.75	426.45
1980	4	3	12	45619.2	7.72	335.47	0.0	5.65	-2.27	487.92
1980	4	4	12	45619.2	3.4	442.3	0.0	12.15	-1.81	530.83
1980	4	5	12	45964.8	0.36	564.0	0.0	11.41	-1.53	527.83
1980	4	6	12	45964.8	0.0	516.63	0.0	7.67	-1.63	531.81
1980	4	7	12	46310.4	0.02	525.74	0.0	11.28	0.76	634.25
1980	4	8	12	46310.4	13.37	396.76	0.0	12.27	3.14	738.63
1980	4	9	12	46634.54	71.56	263.94	0.0	9.98	4.43	761.68
1980	4	10	12	46656.0	17.91	492.4	0.0	10.07	1.71	677.8
1980	4	11	12	46656.0	0.0	574.08	0.0	15.02	1.65	667.15
1980	4	12	12	47001.6	3.21	444.59	0.0	12.85	-0.45	618.51
1980	4	13	12	47001.6	2.79	452.14	0.0	16.12	0.71	651.26
1980	4	14	12	47347.2	20.57	415.81	0.0	11.56	0.47	631.13
1980	4	15	12	47347.2	5.87	441.59	0.0	13.19	0.55	630.46
1980	4	16	12	47692.8	0.79	436.3	0.0	11.02	-0.6	539.36
1980	4	17	12	47692.8	0.17	537.74	0.0	5.56	-7.71	340.59
1980	4	18	12	48038.4	0.0	590.9	0.0	6.45	-6.54	382.74
1980	4	19	12	48038.4	0.0	571.22	0.0	9.73	-1.76	534.76
1980	4	20	12	48384.0	0.01	569.95	0.0	14.71	1.14	652.66
1980	4	21	12	48384.0	0.0	601.16	0.0	18.35	0.62	644.09
1980	4	22	12	48729.6	0.0	599.99	0.0	15.07	-1.26	563.67
1980	4	23	12	48729.6	0.0	586.25	0.0	10.81	-2.31	533.78
1980	4	24	12	49075.2	0.0	598.78	0.0	16.73	0.08	652.01
1980	4	25	12	49075.2	0.27	447.79	0.0	18.23	3.56	775.35
1980	4	26	12	49399.34	0.07	507.3	0.0	13.72	2.77	735.2
1980	4	27	12	49420.8	8.36	422.08	0.0	14.86	3.36	776.64
1980	4	28	12	49420.8	50.37	239.8	0.0	11.93	4.8	800.36
1980	4	29	12	49766.4	13.78	130.22	0.0	7.62	3.76	761.79
1980	4	30	12	49766.4	0.29	279.83	0.0	8.37	4.39	795.21
1980	5	1	12	50112.0	1.9	412.99	0.0	15.54	4.56	857.87
1980	5	2	12	50112.0	0.7	355.24	0.0	14.67	6.69	936.82
1980	5	3	12	50436.14	0.05	543.2	0.0	17.48	6.0	938.9
1980	5	4	12	50457.6	0.0	581.78	0.0	22.76	6.88	998.39
1980	5	5	12	50457.6	0.0	505.02	0.0	17.73	7.41	1024.66
1980	5	6	12	50803.2	3.37	441.93	0.0	24.95	8.15	1057.52
1980	5	7	12	50803.2	0.89	602.33	0.0	24.74	3.38	818.28
1980	5	8	12	51148.8	0.0	587.34	0.0	17.72	1.09	675.12
1980	5	9	12	51148.8	0.0	531.07	0.0	11.89	0.04	608.98
1980	5	10	12	51148.8	0.0	462.64	0.0	8.77	0.26	627.2
1980	5	11	12	51494.4	2.13	439.55	0.0	15.67	1.71	768.03
1980	5	12	12	51494.4	1.28	231.87	0.0	13.19	8.15	1058.59
1980	5	13	12	51494.4	5.02	289.52	0.0	17.38	10.95	1183.97
1980	5	14	12	51840.0	1.27	557.3	0.0	20.08	6.81	964.62
1980	5	15	12	51840.0	0.0	489.54	0.0	14.92	4.43	790.98
1980	5	16	12	51840.0	0.0	525.07	0.0	12.04	0.75	668.1
1980	5	17	12	52185.6	0.09	422.34	0.0	16.9	1.86	756.7
1980	5	18	12	52185.6	7.96	418.12	0.0	20.43	5.16	924.57
