  38.83
  16.00
   7818421
Year	Mnth	Day	Hr	dayl(s)	prcp(mm/day)	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
1980	1	1	12	33523.2	0.0	259.88	0.0	7.52	-5.18	440.08
1980	1	2	12	33523.2	0.0	211.13	0.0	6.12	-1.74	522.97
1980	1	3	12	33523.2	0.0	175.03	0.0	5.49	-0.43	555.78
1980	1	4	12	33868.8	0.09	134.97	0.0	2.92	-3.51	465.07
1980	1	5	12	33868.8	11.07	82.96	0.0	0.75	-3.4	422.16
1980	1	6	12	33868.8	4.58	226.14	0.0	-0.09	-9.7	289.58
1980	1	7	12	33868.8	2.59	249.17	0.0	3.43	-10.98	292.4
1980	1	8	12	33868.8	0.63	186.79	0.0	4.56	-1.88	484.01
1980	1	9	12	33868.8	0.02	166.63	0.0	2.76	-1.75	475.59
1980	1	10	12	34191.26	0.0	303.14	0.0	2.16	-8.44	349.66
1980	1	11	12	34214.4	1.14	251.65	0.0	16.57	-3.79	502.25
1980	1	12	12	34214.4	17.32	203.76	0.0	15.11	1.56	650.98
1980	1	13	12	34214.4	4.48	232.76	0.0	9.77	-3.57	503.57
1980	1	14	12	34214.4	0.08	205.07	0.0	12.37	-0.03	655.86
1980	1	15	12	34560.0	2.27	153.27	0.0	13.7	6.82	887.79
1980	1	16	12	34560.0	0.59	266.44	0.0	11.13	0.43	657.36
1980	1	17	12	34560.0	0.0	233.6	0.0	7.57	-1.35	575.02
1980	1	18	12	34560.0	7.7	79.81	0.0	6.23	3.31	713.67
1980	1	19	12	34905.6	14.76	149.29	0.0	7.9	1.84	671.66
1980	1	20	12	34905.6	3.35	243.95	0.0	6.43	-1.57	531.03
1980	1	21	12	34905.6	0.0	287.43	0.0	5.89	-5.24	420.84
1980	1	22	12	34905.6	3.64	222.99	0.0	7.82	-4.66	462.7
1980	1	23	12	35251.2	9.8	146.63	0.0	7.35	1.69	601.01
1980	1	24	12	35251.2	2.33	289.75	0.0	3.01	-7.82	374.38
1980	1	25	12	35251.2	0.0	257.63	0.0	4.16	-3.92	425.99
1980	1	26	12	35596.8	0.0	264.04	0.0	5.05	-3.41	445.49
1980	1	27	12	35596.8	0.0	253.53	0.0	2.47	-5.15	412.09
1980	1	28	12	35596.8	0.0	228.29	0.0	3.94	-2.44	475.21
