  38.17
   8.00
  12426629
Year	Mnth	Day	Hr	dayl(s)	prcp(mm/day)	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
1980	1	1	12	33868.8	0.0	276.99	0.0	9.48	-5.95	433.12
1980	1	2	12	33868.8	0.0	200.54	0.0	7.16	0.01	561.02
1980	1	3	12	33868.8	0.0	255.56	0.0	6.16	-4.6	452.62
1980	1	4	12	33868.8	1.13	174.76	0.0	4.88	-3.69	455.45
1980	1	5	12	33868.8	7.84	138.71	0.0	2.83	-3.21	448.04
1980	1	6	12	34049.82	4.42	192.03	0.0	0.1	-6.74	351.2
1980	1	7	12	34214.4	1.49	253.41	0.0	5.05	-9.76	337.62
1980	1	8	12	34214.4	0.22	207.8	0.0	6.02	0.55	571.63
1980	1	9	12	34214.4	0.0	172.94	0.0	4.35	-1.06	531.21
1980	1	10	12	34214.4	0.0	265.63	0.0	4.42	-5.95	430.86
1980	1	11	12	34214.4	3.18	217.01	0.0	16.54	-0.88	606.65
1980	1	12	12	34560.0	16.05	210.9	0.0	15.98	1.18	683.41
1980	1	13	12	34560.0	4.0	239.29	0.0	11.34	-0.26	620.94
1980	1	14	12	34560.0	0.06	215.61	0.0	14.94	0.3	699.55
1980	1	15	12	34560.0	0.08	186.86	0.0	13.38	7.18	917.84
1980	1	16	12	34560.0	0.02	265.25	0.0	12.29	2.16	734.9
1980	1	17	12	34905.6	0.0	278.07	0.0	10.93	-0.34	646.28
1980	1	18	12	34905.6	9.11	77.74	0.0	9.04	4.3	770.4
1980	1	19	12	34905.6	22.13	130.21	0.0	7.76	2.74	710.26
1980	1	20	12	34905.6	5.19	267.56	0.0	7.21	-1.98	550.54
1980	1	21	12	35251.2	0.0	249.43	0.0	6.69	-1.27	534.69
1980	1	22	12	35251.2	1.09	229.3	0.0	8.84	-4.21	493.79
1980	1	23	12	35251.2	17.36	191.52	0.0	9.18	1.01	599.5
1980	1	24	12	35596.8	4.49	278.59	0.0	4.82	-6.09	414.74
1980	1	25	12	35596.8	0.0	263.72	0.0	4.6	-3.75	443.74
1980	1	26	12	35596.8	0.0	314.52	0.0	9.48	-3.73	466.78
1980	1	27	12	35596.8	0.0	231.41	0.0	5.86	-3.19	476.23
1980	1	28	12	35942.4	0.0	244.35	0.0	6.06	-1.1	530.94
1980	1	29	12	35942.4	0.0	268.57	0.0	4.87	-3.16	464.76
1980	1	30	12	35942.4	0.0	277.73	0.0	2.32	-6.12	373.44
1980	1	31	12	36288.0	0.1	174.4	0.0	-0.01	-6.63	333.02
1980	2	1	12	36288.0	0.03	306.2	0.0	-2.18	-9.43	279.48
1980	2	2	12	36288.0	0.0	315.84	0.0	-1.59	-9.08	279.17
1980	2	3	12	36633.6	0.0	295.83	0.0	-1.64	-8.27	287.85
1980	2	4	12	36633.6	0.0	371.68	0.0	0.94	-10.1	263.77
1980	2	5	12	36633.6	0.0	378.71	0.0	1.1	-10.42	258.96
1980	2	6	12	36979.2	0.1	290.11	0.0	1.12	-9.78	300.2
1980	2	7	12	36979.2	0.24	203.48	0.0	3.7	-3.25	441.36
1980	2	8	12	36979.2	0.06	254.54	0.0	2.87	-3.35	451.29
1980	2	9	12	37324.8	0.09	186.09	0.0	2.7	-3.22	449.95
1980	2	10	12	37324.8	4.91	125.22	0.0	0.95	-4.05	380.98
1980	2	11	12	37670.4	1.29	384.82	0.0	3.31	-15.07	219.93
1980	2	12	12	37670.4	0.0	342.05	0.0	2.7	-6.76	300.99
1980	2	13	12	37670.4	0.0	385.58	0.0	2.82	-11.21	256.47
1980	2	14	12	38016.0	0.0	388.82	0.0	8.49	-8.03	326.63
1980	2	15	12	38016.0	0.0	367.09	0.0	7.66	-3.62	452.26
1980	2	16	12	38197.02	4.17	213.42	0.0	7.66	1.0	567.19
1980	2	17	12	38361.6	1.1	339.26	0.0	4.26	-5.43	384.43
1980	2	18	12	38361.6	0.0	354.58	0.0	2.25	-7.12	325.72
1980	2	19	12	38707.2	0.0	407.43	0.0	11.54	-7.59	355.11
1980	2	20	12	38707.2	0.0	406.04	0.0	14.85	-3.11	507.26
1980	2	21	12	39052.8	0.12	290.05	0.0	15.01	3.3	729.12
1980	2	22	12	39052.8	2.85	278.28	0.0	14.8	3.57	778.37
1980	2	23	12	39052.8	0.75	345.95	0.0	15.5	5.59	819.32
1980	2	24	12	39398.4	0.06	288.84	0.0	14.44	2.47	707.66
1980	2	25	12	39398.4	6.39	276.9	0.0	10.73	0.11	592.62
1980	2	26	12	39744.0	1.69	187.94	0.0	7.22	-0.7	509.83
1980	2	27	12	39744.0	0.0	418.69	0.0	6.59	-6.61	373.89
1980	2	28	12	39744.0	0.01	363.38	0.0	6.34	-3.06	409.48
1980	2	29	12	40089.6	0.17	312.83	0.0	2.66	-7.84	327.35
1980	3	1	12	40089.6	0.32	265.41	0.0	-3.52	-10.08	245.16
1980	3	2	12	40435.2	12.69	310.11	0.0	-3.55	-11.96	217.43
1980	3	3	12	40435.2	3.32	463.76	0.0	1.03	-10.89	228.3
1980	3	4	12	40780.8	0.0	497.76	0.0	9.34	-12.47	313.82
1980	3	5	12	40780.8	0.48	235.28	0.0	10.6	4.88	735.13
1980	3	6	12	40780.8	0.13	364.02	0.0	10.46	3.15	681.12
1980	3	7	12	41126.4	0.0	487.6	0.0	15.4	-0.99	654.13
1980	3	8	12	41126.4	0.0	328.95	0.0	19.2	11.46	1106.57
1980	3	9	12	41472.0	0.0	344.56	0.0	16.23	7.72	900.12
1980	3	10	12	41472.0	0.0	469.65	0.0	15.3	-2.48	551.63
