  38.28
 793.00
 284776910
Year	Mnth	Day	Hr	dayl(s)	prcp(mm/day)	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
1980	1	1	12	33868.8	0.0	263.36	0.0	7.32	-5.92	391.93
1980	1	2	12	33868.8	0.0	258.57	0.0	5.66	-6.59	375.59
1980	1	3	12	33868.8	0.19	142.1	0.0	2.82	-4.82	401.1
1980	1	4	12	33868.8	6.69	110.17	0.0	0.15	-5.41	381.69
1980	1	5	12	33868.8	5.69	108.12	0.0	-1.3	-5.76	355.54
1980	1	6	12	33900.93	1.06	270.29	0.0	0.89	-10.07	285.65
1980	1	7	12	34142.54	0.2	231.72	0.0	2.48	-7.76	319.5
1980	1	8	12	34214.4	0.05	301.54	0.0	4.36	-7.45	347.25
1980	1	9	12	34214.4	0.0	222.06	0.0	3.77	-3.62	404.44
1980	1	10	12	34214.4	0.12	262.88	0.0	2.99	-10.76	304.16
1980	1	11	12	34214.4	7.87	208.88	0.0	6.91	-3.46	437.19
1980	1	12	12	34313.75	3.77	243.76	0.0	9.5	-4.85	423.83
1980	1	13	12	34560.0	5.29	191.74	0.0	5.88	-6.1	379.47
1980	1	14	12	34560.0	10.29	214.21	0.0	4.98	-3.95	459.64
1980	1	15	12	34560.0	2.38	255.65	0.0	9.26	1.21	603.5
1980	1	16	12	34560.0	0.15	261.33	0.0	11.16	-3.67	516.42
1980	1	17	12	34833.74	3.01	181.3	0.0	8.88	0.74	641.46
1980	1	18	12	34905.6	14.5	91.23	0.0	7.54	4.27	741.49
1980	1	19	12	34905.6	3.61	301.92	0.0	9.56	-2.05	553.65
1980	1	20	12	34905.6	0.0	272.07	0.0	7.92	-1.89	503.45
1980	1	21	12	35246.25	0.02	301.17	0.0	6.25	-6.18	398.6
1980	1	22	12	35251.2	3.81	199.09	0.0	4.37	-4.42	409.31
1980	1	23	12	35251.2	1.0	292.78	0.0	3.71	-7.01	335.24
1980	1	24	12	35350.56	3.76	265.46	0.0	-0.19	-13.09	245.49
1980	1	25	12	35596.8	2.41	277.7	0.0	5.9	-5.49	370.59
1980	1	26	12	35596.8	0.37	356.26	0.0	6.6	-6.12	380.21
1980	1	27	12	35596.8	0.0	352.78	0.0	6.66	-5.19	403.45
1980	1	28	12	35942.4	0.0	319.51	0.0	5.54	-3.59	426.91
1980	1	29	12	35942.4	0.0	294.43	0.0	2.75	-6.49	336.6
1980	1	30	12	35942.4	1.91	268.56	0.0	-2.43	-13.29	215.55
1980	1	31	12	36283.05	2.47	222.78	0.0	-5.83	-12.02	203.96
1980	2	1	12	36288.0	0.52	315.59	0.0	-7.89	-15.35	163.02
1980	2	2	12	36288.0	0.0	316.64	0.0	-8.76	-16.07	148.08
1980	2	3	12	36633.6	0.0	385.12	0.0	-4.97	-17.02	146.8
1980	2	4	12	36633.6	0.0	352.06	0.0	-4.89	-14.09	176.98
