  32.92
  82.00
  79737535
Year	Mnth	Day	Hr	dayl(s)	prcp(mm/day)	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
1980	1	1	12	35596.8	1.47	152.63	0.0	11.05	3.35	727.39
1980	1	2	12	35596.8	0.96	252.8	0.0	14.07	-3.82	531.03
1980	1	3	12	35596.8	0.34	250.54	0.0	15.83	-1.31	602.31
1980	1	4	12	35596.8	1.35	196.35	0.0	12.86	2.68	717.85
1980	1	5	12	35596.8	0.34	152.71	0.0	9.59	2.19	650.24
1980	1	6	12	35596.8	0.0	338.7	0.0	8.12	-6.91	399.56
1980	1	7	12	35596.8	0.0	351.98	0.0	13.68	-5.81	444.38
1980	1	8	12	35942.4	1.16	225.29	0.0	13.66	2.13	726.67
1980	1	9	12	35942.4	1.2	201.05	0.0	16.46	7.06	945.57
1980	1	10	12	35942.4	1.74	224.65	0.0	14.99	3.97	855.6
1980	1	11	12	35942.4	1.69	123.93	0.0	12.99	6.42	912.09
1980	1	12	12	35942.4	0.34	277.93	0.0	14.45	5.35	863.73
1980	1	13	12	35942.4	2.24	192.06	0.0	11.86	3.28	759.31
1980	1	14	12	36278.18	1.57	220.17	0.0	10.51	0.69	681.18
1980	1	15	12	36288.0	0.31	234.15	0.0	15.14	3.77	782.49
1980	1	16	12	36288.0	0.26	265.32	0.0	19.82	1.45	781.41
1980	1	17	12	36288.0	3.17	227.54	0.0	18.58	7.72	1071.86
1980	1	18	12	36288.0	6.76	166.11	0.0	19.29	12.74	1331.77
1980	1	19	12	36359.02	1.65	258.95	0.0	21.37	6.41	1006.85
1980	1	20	12	36633.6	0.02	364.5	0.0	20.43	1.01	738.04
1980	1	21	12	36633.6	0.0	359.4	0.0	18.44	2.08	773.89
1980	1	22	12	36633.6	5.19	224.23	0.0	17.63	7.71	1004.97
1980	1	23	12	36633.6	12.16	206.99	0.0	15.25	6.87	930.79
1980	1	24	12	36979.2	2.84	365.3	0.0	13.02	-2.01	608.33
1980	1	25	12	36979.2	0.13	262.78	0.0	13.84	1.32	694.64
1980	1	26	12	36979.2	20.46	219.86	0.0	13.32	4.53	835.87
1980	1	27	12	36979.2	10.7	71.62	0.0	11.71	6.38	901.05
1980	1	28	12	37324.8	1.4	283.14	0.0	12.64	4.67	817.6
1980	1	29	12	37324.8	0.0	382.55	0.0	16.0	-0.3	650.72
1980	1	30	12	37324.8	2.5	285.99	0.0	14.8	-0.34	639.08
1980	1	31	12	37324.8	2.91	227.59	0.0	11.78	1.8	653.13
1980	2	1	12	37670.4	0.59	327.32	0.0	6.93	-4.15	441.0
1980	2	2	12	37670.4	0.0	395.16	0.0	4.7	-9.29	309.25
1980	2	3	12	37670.4	0.0	391.67	0.0	5.97	-7.28	330.48
1980	2	4	12	37670.4	0.0	403.45	0.0	6.89	-7.77	326.17
1980	2	5	12	38016.0	0.98	344.42	0.0	7.63	-8.92	342.18
1980	2	6	12	38016.0	0.79	256.17	0.0	8.28	-1.09	518.54
1980	2	7	12	38016.0	0.14	368.68	0.0	7.87	-2.7	489.85
1980	2	8	12	38361.6	0.94	305.08	0.0	11.0	-3.36	507.29
1980	2	9	12	38361.6	5.1	209.71	0.0	9.03	1.72	650.44
1980	2	10	12	38361.6	8.44	181.45	0.0	7.4	1.73	637.83
1980	2	11	12	38697.38	1.89	398.52	0.0	10.62	-1.94	514.31
1980	2	12	12	38707.2	0.02	364.1	0.0	12.67	-2.54	502.62
1980	2	13	12	38707.2	0.0	419.22	0.0	14.29	-0.43	551.59
1980	2	14	12	38707.2	0.0	440.68	0.0	17.38	-2.07	530.16
1980	2	15	12	39052.8	1.86	331.64	0.0	20.25	-1.89	576.29
1980	2	16	12	39052.8	2.13	322.89	0.0	18.54	1.81	675.11
1980	2	17	12	39052.8	0.43	426.05	0.0	14.99	0.33	579.66
1980	2	18	12	39398.4	0.0	449.1	0.0	11.17	-6.32	405.97
1980	2	19	12	39398.4	0.0	436.47	0.0	12.73	-2.07	513.56
1980	2	20	12	39398.4	0.25	328.66	0.0	17.26	1.73	709.68
1980	2	21	12	39744.0	0.08	366.63	0.0	20.54	6.43	907.85
1980	2	22	12	39744.0	9.6	301.81	0.0	19.28	7.01	990.63
1980	2	23	12	39744.0	3.67	321.66	0.0	25.16	8.89	1122.82
1980	2	24	12	40089.6	0.3	428.38	0.0	25.04	9.66	1157.52
