  30.01
  45.00
 458231937
Year	Mnth	Day	Hr	dayl(s)	prcp(mm/day)	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
1980	1	1	12	36288.0	0.01	274.15	0.0	14.58	4.12	800.03
1980	1	2	12	36288.0	0.0	354.38	0.0	14.65	0.11	643.08
1980	1	3	12	36299.28	0.05	363.51	0.0	18.29	-0.91	629.28
1980	1	4	12	36370.06	4.16	258.28	0.0	16.61	2.75	755.84
1980	1	5	12	36506.43	1.09	261.85	0.0	13.73	4.41	769.38
1980	1	6	12	36633.6	0.0	342.63	0.0	10.68	-1.68	569.6
1980	1	7	12	36633.6	0.0	376.24	0.0	17.34	-1.99	590.74
1980	1	8	12	36633.6	0.0	363.43	0.0	20.98	4.0	867.12
1980	1	9	12	36633.6	0.2	239.48	0.0	22.54	10.6	1231.39
1980	1	10	12	36633.6	0.05	237.97	0.0	19.92	11.23	1285.01
1980	1	11	12	36633.6	0.18	214.48	0.0	21.04	11.53	1326.34
1980	1	12	12	36678.18	2.07	221.74	0.0	20.74	10.93	1256.69
1980	1	13	12	36852.03	8.99	166.56	0.0	17.56	7.47	1036.91
1980	1	14	12	36979.2	9.4	116.46	0.0	12.32	7.5	992.29
1980	1	15	12	36979.2	2.02	254.28	0.0	17.77	5.91	939.04
1980	1	16	12	36979.2	0.03	374.75	0.0	21.73	4.69	922.99
1980	1	17	12	36979.2	0.0	357.66	0.0	23.47	8.86	1177.5
1980	1	18	12	36990.48	0.0	286.56	0.0	24.14	14.68	1484.49
1980	1	19	12	37197.63	0.0	356.86	0.0	22.76	7.52	1074.33
1980	1	20	12	37324.8	0.0	393.42	0.0	22.66	1.8	789.29
1980	1	21	12	37324.8	0.0	387.13	0.0	23.54	3.49	862.54
1980	1	22	12	37324.8	6.62	278.3	0.0	24.14	8.35	1100.38
1980	1	23	12	37324.8	7.51	274.29	0.0	22.58	8.2	1044.48
1980	1	24	12	37543.23	1.52	399.51	0.0	16.98	-1.56	655.04
1980	1	25	12	37670.4	0.45	281.21	0.0	16.55	3.16	814.84
1980	1	26	12	37670.4	22.91	201.56	0.0	17.48	9.81	1168.78
1980	1	27	12	37670.4	8.89	189.72	0.0	18.84	12.23	1323.28
1980	1	28	12	37681.68	0.76	332.54	0.0	18.47	8.37	1076.19
1980	1	29	12	38016.0	0.0	399.71	0.0	19.11	3.1	837.08
1980	1	30	12	38016.0	0.0	395.44	0.0	20.79	5.29	903.8
1980	1	31	12	38016.0	4.86	269.85	0.0	17.68	6.21	899.48
1980	2	1	12	38016.0	1.29	360.77	0.0	13.37	-1.0	588.14
