  37.42
 200.00
2337759543
Year	Mnth	Day	Hr	dayl(s)	prcp(mm/day)	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
1980	1	1	12	34206.75	0.0	283.08	0.0	10.36	-6.05	430.35
1980	1	2	12	34214.4	4.05	159.03	0.0	8.54	-1.43	536.76
1980	1	3	12	34214.4	1.67	123.7	0.0	5.55	-4.91	435.13
1980	1	4	12	34214.4	0.0	133.7	0.0	0.15	-4.7	427.74
1980	1	5	12	34218.37	0.0	166.13	0.0	3.55	-2.63	484.16
1980	1	6	12	34240.91	0.0	260.54	0.0	6.45	-5.08	420.82
1980	1	7	12	34348.5	0.0	253.74	0.0	3.68	-11.31	276.48
1980	1	8	12	34521.75	0.0	246.44	0.0	0.08	-9.65	280.15
1980	1	9	12	34560.0	0.0	267.46	0.0	1.56	-9.59	321.98
1980	1	10	12	34560.0	0.0	300.06	0.0	15.41	-2.01	529.56
1980	1	11	12	34560.0	0.0	298.35	0.0	12.85	-3.92	506.23
1980	1	12	12	34613.64	0.0	255.23	0.0	9.75	-2.17	544.46
1980	1	13	12	34748.43	0.0	309.82	0.0	20.98	-1.19	626.79
1980	1	14	12	34905.52	0.0	307.53	0.0	18.1	-1.04	651.97
1980	1	15	12	34905.6	0.14	224.5	0.0	15.53	2.76	754.33
1980	1	16	12	34905.6	0.06	182.89	0.0	11.4	1.87	687.62
1980	1	17	12	34995.87	0.0	315.34	0.0	10.2	-5.84	467.59
1980	1	18	12	35243.55	11.22	211.81	0.0	9.9	-1.63	549.33
1980	1	19	12	35251.2	11.22	204.79	0.0	8.41	-1.77	552.63
1980	1	20	12	35251.2	6.12	64.21	0.0	6.54	-3.02	488.76
1980	1	21	12	35304.84	1.4	235.13	0.0	4.34	-2.92	490.82
1980	1	22	12	35589.15	0.0	204.22	0.0	3.57	-2.47	495.15
1980	1	23	12	35596.8	0.0	334.73	0.0	11.51	-5.62	466.83
1980	1	24	12	35596.8	0.0	329.81	0.0	17.71	0.8	664.06
1980	1	25	12	35730.9	0.07	262.96	0.0	15.01	0.04	619.53
1980	1	26	12	35942.4	0.06	324.95	0.0	9.32	-11.24	306.49
1980	1	27	12	35942.4	0.06	179.66	0.0	1.28	-12.22	223.74
1980	1	28	12	35996.04	0.16	115.12	0.0	-7.96	-11.77	219.76
1980	1	29	12	36287.91	0.27	152.06	0.0	-7.67	-11.58	223.39
1980	1	30	12	36288.0	0.09	194.54	0.0	-5.95	-10.1	232.45
1980	1	31	12	36299.64	0.0	390.12	0.0	-3.73	-17.06	160.37
1980	2	1	12	36595.36	0.0	399.45	0.0	4.13	-12.07	212.23
1980	2	2	12	36633.6	0.0	402.4	0.0	11.12	-6.97	310.11
1980	2	3	12	36637.57	0.0	391.21	0.0	8.63	-5.73	355.29
1980	2	4	12	36940.95	0.0	230.65	0.0	6.55	-2.82	434.14
1980	2	5	12	36979.2	0.0	349.87	0.0	10.02	-2.9	433.04
1980	2	6	12	36983.17	0.0	329.15	0.0	7.67	-5.02	381.3
1980	2	7	12	37317.15	18.5	180.71	0.0	4.29	-4.94	363.43
1980	2	8	12	37324.8	7.76	201.92	0.0	-0.55	-9.24	272.11
1980	2	9	12	37336.44	0.06	387.06	0.0	-3.69	-16.05	165.37
1980	2	10	12	37670.4	0.0	416.23	0.0	2.84	-16.9	152.5
1980	2	11	12	37670.4	0.0	390.25	0.0	0.59	-12.21	189.92
1980	2	12	12	37760.66	0.0	422.56	0.0	1.53	-16.38	175.33
1980	2	13	12	38016.0	0.0	360.15	0.0	3.02	-7.08	307.01
1980	2	14	12	38016.0	0.18	135.19	0.0	2.11	-2.62	431.13
1980	2	15	12	38323.36	0.07	275.92	0.0	-0.37	-7.3	315.34
1980	2	16	12	38361.6	0.0	316.07	0.0	-2.9	-13.28	197.5
1980	2	17	12	38361.6	0.0	428.55	0.0	0.73	-15.84	179.36
1980	2	18	12	38707.2	0.0	322.98	0.0	2.11	-5.51	333.27
1980	2	19	12	38707.2	0.0	374.39	0.0	9.19	-1.39	450.27
1980	2	20	12	38841.3	0.0	426.4	0.0	18.27	-0.75	511.38
1980	2	21	12	39052.8	0.0	392.5	0.0	16.87	3.12	598.13
1980	2	22	12	39052.8	0.0	384.33	0.0	13.2	-2.76	460.24
1980	2	23	12	39398.4	4.73	196.43	0.0	7.28	-0.25	528.29
1980	2	24	12	39398.4	4.19	255.34	0.0	6.96	-0.31	524.26
1980	2	25	12	39532.5	0.92	370.39	0.0	5.9	-3.39	417.02
1980	2	26	12	39744.0	0.0	454.0	0.0	14.95	-4.63	401.81
1980	2	27	12	39744.0	0.0	452.4	0.0	22.67	0.75	562.26
1980	2	28	12	40089.6	0.0	427.46	0.0	20.69	3.58	616.61
1980	2	29	12	40089.6	0.16	385.77	0.0	15.46	-9.64	389.07
1980	3	1	12	40338.99	0.32	341.96	0.0	4.95	-15.51	161.14
1980	3	2	12	40435.2	0.0	501.89	0.0	4.23	-17.35	167.91
1980	3	3	12	40435.2	0.0	469.4	0.0	11.66	-3.26	358.83
1980	3	4	12	40780.8	0.0	460.35	0.0	8.97	-5.27	330.42
1980	3	5	12	40780.8	0.0	442.83	0.0	4.97	-11.18	243.08
1980	3	6	12	41126.4	0.0	491.79	0.0	18.91	-5.65	339.74
1980	3	7	12	41126.4	0.0	470.11	0.0	15.41	-3.01	396.3
1980	3	8	12	41152.91	0.0	479.35	0.0	13.02	-4.01	390.94
1980	3	9	12	41472.0	0.0	476.3	0.0	16.35	-1.54	456.1
1980	3	10	12	41472.0	0.0	484.07	0.0	19.67	-0.1	505.47
1980	3	11	12	41817.6	7.56	322.48	0.0	16.0	-1.26	515.19
1980	3	12	12	41817.6	6.47	185.79	0.0	9.17	0.62	583.43
1980	3	13	12	42163.2	1.38	442.44	0.0	12.86	0.5	553.69
1980	3	14	12	42163.2	0.0	497.16	0.0	21.63	0.21	579.33
1980	3	15	12	42163.2	0.0	483.26	0.0	21.9	4.46	719.21
1980	3	16	12	42508.8	0.0	433.11	0.0	19.03	5.4	731.25
1980	3	17	12	42508.8	0.0	453.91	0.0	14.57	-0.72	533.56
1980	3	18	12	42854.4	0.0	497.09	0.0	17.96	0.28	562.21
1980	3	19	12	42854.4	0.0	496.34	0.0	23.52	5.03	726.05
1980	3	20	12	43200.0	0.0	472.81	0.0	20.47	4.82	694.13
1980	3	21	12	43200.0	0.0	519.82	0.0	17.6	-2.87	502.91
1980	3	22	12	43200.0	1.89	367.99	0.0	19.49	3.77	674.59
1980	3	23	12	43545.6	25.35	375.47	0.0	16.58	-0.69	551.45
1980	3	24	12	43545.6	10.14	204.12	0.0	12.5	-3.02	466.2
1980	3	25	12	43891.2	0.01	299.75	0.0	3.98	-2.69	486.12
1980	3	26	12	43891.2	1.86	308.56	0.0	11.19	1.08	636.94
1980	3	27	12	44236.8	9.87	215.76	0.0	10.26	3.91	763.07
1980	3	28	12	44236.8	4.29	300.06	0.0	12.37	4.36	763.07
1980	3	29	12	44236.8	10.23	291.81	0.0	10.27	0.23	616.76
1980	3	30	12	44582.4	4.2	263.34	0.0	7.89	0.09	585.31
1980	3	31	12	44582.4	0.64	368.54	0.0	11.95	-0.88	586.15
1980	4	1	12	44928.0	2.82	334.96	0.0	13.88	3.42	712.14
1980	4	2	12	44928.0	9.3	298.9	0.0	11.57	0.71	624.24
1980	4	3	12	45247.09	3.39	468.83	0.0	10.56	-0.44	551.94
1980	4	4	12	45273.6	0.0	540.3	0.0	15.65	-0.87	554.06
1980	4	5	12	45273.6	0.0	550.98	0.0	20.53	1.56	677.68
1980	4	6	12	45619.2	0.0	535.07	0.0	24.3	6.73	882.74
1980	4	7	12	45619.2	0.16	429.91	0.0	22.01	5.75	865.19
