  30.45
  75.00
1004485828
Year	Mnth	Day	Hr	dayl(s)	prcp(mm/day)	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
1980	1	1	12	36288.0	0.0	340.55	0.0	12.59	-1.49	573.93
1980	1	2	12	36288.0	5.77	268.51	0.0	15.98	-1.2	617.02
1980	1	3	12	36288.0	1.93	350.47	0.0	19.27	2.37	739.49
1980	1	4	12	36288.0	0.0	290.25	0.0	16.57	1.99	703.35
1980	1	5	12	36305.44	0.0	348.77	0.0	13.5	-0.81	621.05
1980	1	6	12	36332.71	0.12	283.05	0.0	16.85	0.57	702.46
1980	1	7	12	36389.11	0.04	341.41	0.0	20.9	6.06	927.7
1980	1	8	12	36493.98	0.0	223.39	0.0	18.57	5.99	920.98
1980	1	9	12	36633.6	0.25	103.75	0.0	11.8	5.63	900.8
1980	1	10	12	36633.6	0.87	201.24	0.0	14.96	6.8	990.62
1980	1	11	12	36633.6	0.26	310.91	0.0	19.78	9.11	1116.15
1980	1	12	12	36633.6	0.0	352.86	0.0	22.06	7.17	1025.07
1980	1	13	12	36651.04	0.0	334.58	0.0	19.09	3.04	826.61
1980	1	14	12	36707.52	0.0	350.05	0.0	19.86	6.16	977.16
1980	1	15	12	36839.58	0.0	315.81	0.0	22.22	11.0	1295.11
1980	1	16	12	36979.2	3.27	185.41	0.0	21.44	14.33	1553.67
1980	1	17	12	36979.2	1.74	219.34	0.0	22.79	13.15	1487.23
1980	1	18	12	36979.2	0.21	346.44	0.0	21.94	9.07	1220.11
1980	1	19	12	36996.64	0.32	223.06	0.0	20.23	10.42	1260.37
1980	1	20	12	37080.31	11.29	203.56	0.0	21.14	13.05	1475.2
1980	1	21	12	37324.8	20.41	158.37	0.0	21.46	15.11	1608.06
1980	1	22	12	37324.8	13.35	179.35	0.0	19.42	10.9	1265.89
1980	1	23	12	37324.8	2.6	364.5	0.0	14.71	0.54	729.77
1980	1	24	12	37342.24	0.2	293.78	0.0	12.19	0.12	655.56
1980	1	25	12	37425.91	0.14	335.7	0.0	19.45	2.4	799.98
1980	1	26	12	37670.4	0.02	257.03	0.0	17.89	9.29	1069.34
1980	1	27	12	37670.4	0.0	392.19	0.0	21.46	5.51	956.03
1980	1	28	12	37670.4	0.98	231.03	0.0	18.8	4.4	858.27
1980	1	29	12	37727.86	1.04	210.65	0.0	13.09	6.07	900.86
1980	1	30	12	37999.36	2.03	124.13	0.0	11.87	5.27	844.0
