  33.16
1814.00
 781842062
Year	Mnth	Day	Hr	dayl(s)	prcp(mm/day)	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
1980	1	1	12	35593.65	0.0	381.56	0.0	12.86	-5.92	264.82
1980	1	2	12	35596.8	0.0	390.86	0.0	13.5	-7.42	246.95
1980	1	3	12	35596.8	0.0	392.04	0.0	11.34	-9.9	211.01
1980	1	4	12	35596.8	0.0	390.24	0.0	10.83	-8.53	221.2
1980	1	5	12	35596.8	0.0	396.21	0.0	12.76	-8.19	234.54
1980	1	6	12	35596.8	0.0	385.48	0.0	12.38	-5.94	272.92
1980	1	7	12	35596.8	0.0	339.12	0.0	11.09	-3.79	328.35
1980	1	8	12	35665.73	0.08	259.13	0.0	11.77	-2.49	384.63
1980	1	9	12	35887.7	5.93	262.13	0.0	11.86	-3.44	396.63
1980	1	10	12	35942.4	8.46	179.6	0.0	10.98	2.09	576.32
1980	1	11	12	35942.4	4.07	124.15	0.0	9.85	4.01	691.03
1980	1	12	12	35942.4	0.69	164.5	0.0	9.9	2.78	665.78
1980	1	13	12	35942.4	0.6	202.18	0.0	13.56	4.25	684.81
1980	1	14	12	35964.58	3.86	263.14	0.0	15.79	0.57	580.77
1980	1	15	12	36233.3	1.68	247.33	0.0	14.79	1.84	579.64
1980	1	16	12	36288.0	0.08	353.76	0.0	13.24	-2.29	443.62
1980	1	17	12	36288.0	4.47	276.27	0.0	12.94	-3.26	413.33
1980	1	18	12	36288.0	7.83	286.07	0.0	12.54	-3.69	412.93
1980	1	19	12	36288.0	3.21	218.78	0.0	11.25	-1.39	457.11
1980	1	20	12	36578.9	2.71	266.56	0.0	9.71	-3.53	418.02
1980	1	21	12	36633.6	4.94	268.13	0.0	11.13	-2.29	435.83
1980	1	22	12	36633.6	2.06	263.54	0.0	9.75	-3.79	401.22
1980	1	23	12	36633.6	0.18	341.6	0.0	6.96	-5.91	330.43
1980	1	24	12	36702.54	0.0	392.82	0.0	9.16	-7.11	295.97
1980	1	25	12	36979.2	0.0	405.77	0.0	11.83	-8.01	285.61
1980	1	26	12	36979.2	4.02	328.94	0.0	12.65	-6.35	328.14
1980	1	27	12	36979.2	1.74	332.88	0.0	12.9	-4.91	366.6
1980	1	28	12	37048.13	0.04	413.95	0.0	11.87	-3.95	380.93
1980	1	29	12	37324.8	4.91	281.34	0.0	10.49	-2.1	460.44
1980	1	30	12	37324.8	3.12	182.19	0.0	9.24	2.9	641.9
1980	1	31	12	37324.8	0.59	217.2	0.0	11.9	3.72	697.22
1980	2	1	12	37458.7	0.06	367.27	0.0	14.96	2.85	625.23
1980	2	2	12	37670.4	0.0	420.71	0.0	15.51	-2.98	450.65
1980	2	3	12	37670.4	0.0	430.11	0.0	17.2	-3.59	407.48
1980	2	4	12	37670.4	0.0	435.68	0.0	19.25	-3.32	420.8
1980	2	5	12	38016.0	0.0	430.15	0.0	19.25	-1.56	468.72
1980	2	6	12	38016.0	0.0	428.12	0.0	19.36	0.29	523.81
1980	2	7	12	38016.0	0.87	320.98	0.0	17.59	-0.37	518.01
1980	2	8	12	38149.9	11.77	321.84	0.0	15.19	-4.67	395.26
1980	2	9	12	38361.6	4.71	342.0	0.0	9.82	-6.4	317.48
1980	2	10	12	38361.6	0.0	423.31	0.0	5.59	-9.23	265.5
1980	2	11	12	38383.78	0.0	436.81	0.0	7.91	-7.91	283.34
1980	2	12	12	38707.2	0.0	448.27	0.0	12.28	-6.17	332.23
1980	2	13	12	38707.2	16.34	328.84	0.0	12.3	-3.72	426.58
1980	2	14	12	38707.2	22.24	238.75	0.0	11.1	0.9	585.62
1980	2	15	12	39052.8	13.82	192.85	0.0	9.16	2.66	663.62
1980	2	16	12	39052.8	6.56	281.95	0.0	10.74	0.03	595.74
1980	2	17	12	39052.8	2.01	309.94	0.0	13.09	0.44	604.91
1980	2	18	12	39398.4	6.35	275.38	0.0	12.03	1.55	652.05
1980	2	19	12	39398.4	8.01	279.38	0.0	14.17	3.92	731.99
1980	2	20	12	39398.4	6.1	313.09	0.0	13.78	1.36	658.91
1980	2	21	12	39744.0	2.37	278.53	0.0	12.43	0.79	614.55
1980	2	22	12	39744.0	0.48	349.19	0.0	11.63	0.05	571.65
1980	2	23	12	39744.0	0.06	465.83	0.0	13.51	-2.19	496.88
1980	2	24	12	40089.6	0.0	479.64	0.0	15.06	-2.62	481.11
1980	2	25	12	40089.6	0.0	487.21	0.0	16.96	-1.83	513.44
1980	2	26	12	40089.6	0.0	487.47	0.0	18.08	-0.21	571.04
1980	2	27	12	40435.2	0.0	491.69	0.0	20.51	0.34	598.67
1980	2	28	12	40435.2	0.0	502.13	0.0	21.32	-1.16	566.55
1980	2	29	12	40435.2	0.0	500.24	0.0	20.04	0.25	558.04
1980	3	1	12	40780.8	0.0	494.13	0.0	17.85	-1.04	549.53
1980	3	2	12	40780.8	0.0	474.61	0.0	15.32	0.22	571.34
1980	3	3	12	40849.73	7.9	360.28	0.0	14.49	-0.37	577.04
1980	3	4	12	41126.4	3.55	409.0	0.0	15.05	-0.08	567.54
1980	3	5	12	41126.4	1.46	375.86	0.0	13.2	-3.03	491.88
1980	3	6	12	41472.0	2.32	390.34	0.0	16.94	-1.44	534.55
1980	3	7	12	41472.0	0.73	506.39	0.0	17.48	-0.99	533.7
1980	3	8	12	41472.0	0.0	511.63	0.0	15.34	-3.03	466.88
1980	3	9	12	41817.6	0.0	523.57	0.0	15.93	-2.53	486.97
1980	3	10	12	41817.6	5.57	377.38	0.0	14.97	-0.1	586.51
1980	3	11	12	41817.6	3.79	314.46	0.0	13.65	2.66	671.9
1980	3	12	12	42163.2	0.62	443.15	0.0	12.38	0.96	607.37
1980	3	13	12	42163.2	0.0	513.37	0.0	14.69	-0.62	556.11
1980	3	14	12	42163.2	0.0	542.41	0.0	20.2	0.05	587.2
1980	3	15	12	42508.8	0.0	539.04	0.0	19.81	0.44	593.07
1980	3	16	12	42508.8	0.0	538.94	0.0	17.61	-1.38	521.53
1980	3	17	12	42854.4	0.0	551.72	0.0	16.73	-3.56	461.39
1980	3	18	12	42854.4	1.35	421.75	0.0	16.38	-2.34	505.25
