  38.99
2390.00
   5410761
Year	Mnth	Day	Hr	dayl(s)	prcp(mm/day)	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
1980	1	1	12	33523.2	7.01	323.77	0.0	5.86	-3.08	448.29
1980	1	2	12	33523.2	0.0	350.89	0.0	6.17	-4.7	412.93
1980	1	3	12	33523.2	0.0	343.67	0.0	5.37	-4.64	406.98
1980	1	4	12	33523.2	0.0	338.63	0.0	6.41	-3.18	444.62
1980	1	5	12	33868.8	0.0	342.79	0.0	7.26	-2.83	473.2
1980	1	6	12	33868.8	0.0	264.35	0.0	6.68	0.21	537.43
1980	1	7	12	33868.8	0.02	298.82	0.0	4.97	-7.3	392.85
1980	1	8	12	33868.8	0.03	250.2	0.0	6.84	-0.46	505.32
1980	1	9	12	33868.8	2.29	291.01	0.0	5.87	-4.88	425.54
1980	1	10	12	33868.8	7.87	248.18	0.0	4.88	-5.96	368.01
1980	1	11	12	34214.4	32.92	263.4	0.0	4.25	-3.55	428.15
1980	1	12	12	34214.4	41.96	283.19	0.0	7.8	-1.69	517.73
1980	1	13	12	34214.4	46.71	195.06	0.0	7.36	2.51	642.49
1980	1	14	12	34214.4	37.04	229.47	0.0	6.04	-0.64	568.52
1980	1	15	12	34214.4	17.46	236.33	0.0	4.33	-2.46	493.89
1980	1	16	12	34560.0	4.26	228.59	0.0	4.35	-0.91	524.24
1980	1	17	12	34560.0	19.81	208.78	0.0	3.88	-1.39	498.68
1980	1	18	12	34560.0	12.11	294.11	0.0	1.92	-8.92	321.73
1980	1	19	12	34560.0	1.18	351.75	0.0	-1.04	-10.11	261.56
1980	1	20	12	34905.6	0.0	402.31	0.0	4.24	-8.93	293.77
1980	1	21	12	34905.6	0.0	400.31	0.0	6.56	-5.85	367.84
1980	1	22	12	34905.6	0.0	399.8	0.0	7.06	-4.84	405.02
1980	1	23	12	35251.2	0.0	399.34	0.0	6.62	-5.33	401.85
1980	1	24	12	35251.2	0.0	407.95	0.0	9.35	-4.26	431.33
1980	1	25	12	35251.2	0.0	411.03	0.0	9.57	-4.14	433.22
1980	1	26	12	35251.2	0.0	422.13	0.0	8.11	-8.19	353.43
1980	1	27	12	35596.8	0.2	298.07	0.0	6.22	-2.93	430.25
1980	1	28	12	35596.8	0.53	308.21	0.0	4.58	-8.2	327.34
1980	1	29	12	35596.8	4.98	307.51	0.0	0.01	-11.19	246.33
1980	1	30	12	35942.4	2.38	422.33	0.0	1.87	-11.09	238.49
1980	1	31	12	35942.4	0.0	426.27	0.0	0.67	-12.71	231.85
1980	2	1	12	35942.4	0.0	396.33	0.0	4.98	-4.54	386.21
1980	2	2	12	36288.0	0.0	418.43	0.0	9.42	-2.66	482.02
1980	2	3	12	36288.0	0.0	422.7	0.0	10.48	-1.83	516.94
1980	2	4	12	36288.0	0.0	410.14	0.0	9.84	-2.61	499.3
1980	2	5	12	36633.6	0.0	434.86	0.0	13.43	-1.26	545.18
1980	2	6	12	36633.6	0.0	419.76	0.0	12.67	-2.21	501.5
1980	2	7	12	36979.2	0.2	337.56	0.0	8.23	-5.89	393.06
1980	2	8	12	36979.2	0.1	429.6	0.0	5.07	-6.62	354.26
1980	2	9	12	36979.2	0.0	457.06	0.0	7.9	-7.5	349.62
1980	2	10	12	37324.8	0.0	410.81	0.0	7.34	-3.59	423.19
1980	2	11	12	37324.8	0.0	440.85	0.0	6.87	-5.33	404.89
1980	2	12	12	37324.8	0.0	447.24	0.0	8.57	-4.14	424.69
1980	2	13	12	37670.4	0.07	362.81	0.0	8.03	-5.81	405.55
1980	2	14	12	37670.4	11.13	262.28	0.0	7.56	-1.7	486.46
1980	2	15	12	38016.0	7.7	260.99	0.0	4.29	-1.93	497.57
1980	2	16	12	38016.0	8.12	225.67	0.0	3.98	-2.08	494.88
1980	2	17	12	38016.0	9.14	219.18	0.0	4.43	-0.1	554.46
1980	2	18	12	38361.6	23.36	174.89	0.0	4.21	-0.2	553.17
1980	2	19	12	38361.6	22.46	143.92	0.0	2.62	-1.42	499.06
1980	2	20	12	38707.2	11.14	282.05	0.0	2.1	-4.62	419.95
1980	2	21	12	38707.2	33.84	281.15	0.0	2.66	-3.63	428.82
1980	2	22	12	39052.8	15.77	317.88	0.0	4.17	-3.8	430.4
1980	2	23	12	39052.8	0.06	459.8	0.0	5.4	-5.55	396.49
1980	2	24	12	39052.8	0.0	454.79	0.0	5.96	-3.89	428.75
1980	2	25	12	39398.4	0.0	489.05	0.0	9.16	-3.99	452.1
1980	2	26	12	39398.4	0.0	491.88	0.0	11.39	-1.79	522.11
1980	2	27	12	39744.0	0.67	394.06	0.0	12.99	-1.67	541.47
1980	2	28	12	39744.0	7.18	373.77	0.0	12.2	-3.17	476.55
1980	2	29	12	40089.6	3.59	433.74	0.0	7.46	-5.7	465.98
1980	3	1	12	40089.6	0.0	496.93	0.0	8.89	-3.42	455.4
1980	3	2	12	40089.6	1.05	300.4	0.0	8.38	-1.57	498.94
1980	3	3	12	40435.2	3.88	316.94	0.0	4.19	-3.29	452.19
1980	3	4	12	40435.2	8.11	379.23	0.0	4.48	-5.94	389.92
1980	3	5	12	40780.8	10.43	334.39	0.0	4.09	-3.61	421.18
1980	3	6	12	40780.8	11.87	396.13	0.0	4.81	-6.44	371.34
1980	3	7	12	41126.4	4.13	500.03	0.0	4.4	-6.31	353.86
1980	3	8	12	41126.4	0.0	535.58	0.0	4.76	-8.37	320.2
1980	3	9	12	41472.0	0.0	543.5	0.0	7.91	-6.8	349.93
1980	3	10	12	41472.0	0.0	553.26	0.0	9.19	-6.76	368.89
1980	3	11	12	41472.0	8.45	408.1	0.0	8.56	-3.85	414.27
1980	3	12	12	41817.6	4.23	539.43	0.0	5.83	-9.73	313.92
1980	3	13	12	41817.6	0.0	541.58	0.0	8.12	-4.23	423.68
1980	3	14	12	42163.2	0.02	355.37	0.0	7.77	0.45	570.19
1980	3	15	12	42163.2	0.01	477.37	0.0	7.3	-1.87	504.1
1980	3	16	12	42508.8	0.0	558.06	0.0	6.16	-8.3	342.85
1980	3	17	12	42508.8	0.07	456.19	0.0	9.09	-8.36	323.81
1980	3	18	12	42854.4	1.73	407.84	0.0	8.32	-6.83	342.4
