  47.44
2032.00
  19597829
Year	Mnth	Day	Hr	dayl(s)	prcp(mm/day)	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
1980	1	1	12	30067.2	14.46	178.61	0.0	-4.29	-8.99	265.31
1980	1	2	12	30067.2	10.05	169.55	0.0	-3.92	-7.95	293.1
1980	1	3	12	30067.2	1.73	209.67	0.0	-3.52	-10.6	247.82
1980	1	4	12	30067.2	0.12	280.57	0.0	-4.78	-18.85	150.36
1980	1	5	12	30067.2	44.85	218.92	0.0	-5.27	-13.27	173.66
1980	1	6	12	30412.8	30.88	241.5	0.0	-7.06	-26.94	83.13
1980	1	7	12	30412.8	7.55	200.62	0.0	-12.86	-23.35	71.96
1980	1	8	12	30412.8	9.04	205.7	0.0	-17.93	-24.7	68.04
1980	1	9	12	30412.8	26.41	187.51	0.0	-18.94	-24.85	66.09
1980	1	10	12	30758.4	33.41	232.07	0.0	-14.01	-22.98	80.92
1980	1	11	12	30758.4	11.03	288.03	0.0	-8.85	-19.32	118.83
1980	1	12	12	30758.4	17.86	248.66	0.0	1.34	-12.81	209.3
1980	1	13	12	30758.4	18.0	229.83	0.0	0.57	-8.1	303.77
1980	1	14	12	31104.0	18.46	216.68	0.0	1.46	-5.42	370.41
1980	1	15	12	31104.0	7.76	243.22	0.0	2.4	-7.85	327.08
1980	1	16	12	31104.0	2.39	249.16	0.0	1.05	-13.96	222.85
1980	1	17	12	31449.6	3.25	231.29	0.0	-1.39	-9.26	258.92
1980	1	18	12	31449.6	4.12	244.05	0.0	-2.42	-13.93	195.77
1980	1	19	12	31494.25	1.5	319.63	0.0	-6.58	-25.85	86.98
1980	1	20	12	31795.2	0.0	312.58	0.0	-12.01	-24.33	75.54
1980	1	21	12	31795.2	0.0	291.67	0.0	-10.29	-18.62	116.56
1980	1	22	12	32140.8	0.0	246.66	0.0	-9.26	-14.7	160.22
1980	1	23	12	32140.8	0.0	276.01	0.0	-7.74	-14.61	177.52
1980	1	24	12	32140.8	0.0	322.46	0.0	0.71	-11.33	223.28
1980	1	25	12	32486.4	1.24	271.23	0.0	-0.77	-17.28	156.45
1980	1	26	12	32486.4	0.62	331.08	0.0	-5.64	-28.01	66.96
1980	1	27	12	32832.0	0.0	331.98	0.0	-17.03	-32.14	36.46
1980	1	28	12	32832.0	0.0	330.75	0.0	-20.9	-33.41	30.79
1980	1	29	12	33177.6	0.0	333.23	0.0	-18.33	-30.11	38.88
1980	1	30	12	33177.6	0.0	341.07	0.0	-17.41	-29.98	43.43
1980	1	31	12	33523.2	0.0	340.56	0.0	-13.99	-26.46	61.24
1980	2	1	12	33523.2	9.82	278.92	0.0	-8.84	-20.57	110.27
1980	2	2	12	33567.85	5.0	295.76	0.0	-3.17	-11.32	226.83
1980	2	3	12	33868.8	10.26	253.93	0.0	1.98	-6.31	343.76
1980	2	4	12	33913.45	10.03	226.79	0.0	1.27	-5.74	354.68
1980	2	5	12	34214.4	2.46	344.98	0.0	-0.93	-13.22	235.82
1980	2	6	12	34259.05	20.5	220.62	0.0	-2.92	-9.07	271.84
1980	2	7	12	34560.0	13.92	175.35	0.0	-3.52	-6.71	322.95
1980	2	8	12	34604.65	1.83	218.93	0.0	-3.5	-7.2	321.75
1980	2	9	12	34905.6	0.0	206.54	0.0	-3.84	-7.3	314.31
1980	2	10	12	35251.2	0.0	254.04	0.0	-3.52	-8.25	294.81
1980	2	11	12	35251.2	0.0	263.89	0.0	-4.11	-9.89	263.8
1980	2	12	12	35596.8	13.0	215.05	0.0	-4.67	-9.11	261.1
1980	2	13	12	35596.8	10.94	289.31	0.0	-5.62	-15.03	178.82
1980	2	14	12	35942.4	3.01	258.6	0.0	-7.73	-20.43	111.18
1980	2	15	12	35942.4	1.46	264.38	0.0	-13.98	-20.26	101.07
1980	2	16	12	36288.0	0.53	400.63	0.0	-9.23	-21.78	98.77
1980	2	17	12	36288.0	0.0	404.77	0.0	-5.64	-17.86	141.93
1980	2	18	12	36633.6	8.37	292.85	0.0	-1.58	-9.37	264.75
1980	2	19	12	36678.25	5.72	312.45	0.0	3.64	-5.82	364.59
1980	2	20	12	36979.2	10.29	272.02	0.0	2.79	-5.62	368.45
1980	2	21	12	37324.8	4.76	386.4	0.0	0.35	-8.86	303.22
1980	2	22	12	37324.8	0.0	400.72	0.0	0.3	-9.51	273.44
1980	2	23	12	37670.4	0.0	422.41	0.0	-0.81	-12.73	219.98
1980	2	24	12	37670.4	0.0	438.15	0.0	-1.11	-14.85	188.61
1980	2	25	12	38016.0	0.0	414.5	0.0	-2.1	-12.16	222.34
1980	2	26	12	38361.6	0.07	334.9	0.0	0.47	-8.05	305.57
1980	2	27	12	38361.6	0.03	414.38	0.0	4.64	-5.02	384.72
