  46.85
1642.00
3355189776
Year	Mnth	Day	Hr	dayl(s)	prcp(mm/day)	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
1980	1	1	12	30390.73	8.55	194.94	0.0	-2.48	-8.68	284.15
1980	1	2	12	30412.8	6.48	169.79	0.0	-1.52	-5.89	344.31
1980	1	3	12	30412.8	2.55	209.18	0.0	-0.79	-8.28	308.78
1980	1	4	12	30492.0	12.84	228.7	0.0	-1.78	-13.66	224.35
1980	1	5	12	30588.41	19.06	207.32	0.0	-2.96	-10.49	234.11
1980	1	6	12	30706.63	7.46	247.16	0.0	-4.04	-17.5	161.56
1980	1	7	12	30758.4	2.63	225.15	0.0	-5.19	-17.31	142.98
1980	1	8	12	30772.19	17.65	187.66	0.0	-8.85	-15.31	159.42
1980	1	9	12	30885.32	18.34	183.58	0.0	-9.9	-15.47	165.65
1980	1	10	12	31018.16	10.88	227.67	0.0	-7.48	-15.25	166.63
1980	1	11	12	31104.0	6.84	249.38	0.0	-7.36	-18.84	135.61
1980	1	12	12	31117.79	20.51	251.98	0.0	-3.61	-15.46	176.07
1980	1	13	12	31279.61	27.87	217.75	0.0	0.18	-6.32	326.87
1980	1	14	12	31427.53	18.22	208.1	0.0	0.6	-5.16	379.75
1980	1	15	12	31449.6	8.29	246.57	0.0	1.53	-7.91	330.54
1980	1	16	12	31576.52	6.44	252.87	0.0	0.72	-10.13	281.14
1980	1	17	12	31773.13	3.02	242.29	0.0	-0.13	-8.91	286.69
1980	1	18	12	31795.2	0.38	296.83	0.0	-0.78	-10.09	258.1
1980	1	19	12	31970.81	0.0	326.36	0.0	-2.52	-21.24	135.2
1980	1	20	12	32138.05	0.0	326.96	0.0	-5.37	-21.27	110.76
1980	1	21	12	32154.59	0.0	310.57	0.0	-3.5	-16.93	148.94
1980	1	22	12	32361.21	0.32	288.04	0.0	-2.04	-16.15	167.61
1980	1	23	12	32486.4	0.16	324.63	0.0	-1.52	-14.66	187.95
1980	1	24	12	32565.6	0.21	306.57	0.0	2.08	-11.79	233.48
1980	1	25	12	32809.93	0.11	315.06	0.0	1.62	-10.48	250.28
1980	1	26	12	32832.0	0.0	341.83	0.0	-0.58	-21.71	126.89
1980	1	27	12	33091.76	0.0	334.25	0.0	-8.09	-25.79	70.03
1980	1	28	12	33177.6	0.0	350.96	0.0	-13.8	-30.98	44.99
1980	1	29	12	33353.21	0.0	355.64	0.0	-10.96	-31.0	41.89
1980	1	30	12	33523.2	0.0	357.8	0.0	-10.58	-29.75	46.66
1980	1	31	12	33602.4	1.32	295.51	0.0	-8.68	-27.72	60.14
1980	2	1	12	33868.8	3.34	288.24	0.0	-4.58	-19.56	128.05
1980	2	2	12	33882.59	6.6	202.73	0.0	-1.86	-7.12	301.91
1980	2	3	12	34211.65	18.85	191.72	0.0	-0.27	-4.84	383.09
1980	2	4	12	34214.4	10.33	226.7	0.0	0.76	-5.76	365.24
1980	2	5	12	34537.93	1.15	322.87	0.0	1.01	-11.42	268.18
1980	2	6	12	34560.0	5.0	254.49	0.0	0.07	-8.91	290.02
1980	2	7	12	34883.53	2.61	229.55	0.0	-0.04	-6.0	354.22
1980	2	8	12	34905.6	0.07	244.98	0.0	0.31	-5.29	369.38
1980	2	9	12	35229.12	0.0	368.02	0.0	1.82	-11.58	264.43
1980	2	10	12	35251.2	0.0	367.48	0.0	1.88	-10.88	255.19
1980	2	11	12	35594.05	0.04	353.96	0.0	1.9	-10.0	272.83
1980	2	12	12	35596.8	3.42	229.34	0.0	1.02	-8.05	298.89
1980	2	13	12	35942.4	8.21	248.62	0.0	-2.24	-9.59	267.08
1980	2	14	12	35956.19	4.2	288.23	0.0	-3.78	-16.22	173.61
1980	2	15	12	36288.0	0.53	262.24	0.0	-7.85	-15.69	157.09
1980	2	16	12	36328.94	0.04	356.33	0.0	-5.56	-15.9	167.61
1980	2	17	12	36633.6	1.97	333.61	0.0	1.0	-14.37	205.45
1980	2	18	12	36760.52	14.95	279.7	0.0	2.09	-6.39	342.67
1980	2	19	12	36979.2	15.93	290.73	0.0	5.11	-3.89	435.16
1980	2	20	12	37238.96	6.82	293.49	0.0	5.42	-3.5	453.8
1980	2	21	12	37324.8	3.41	307.26	0.0	4.53	-5.48	403.73
1980	2	22	12	37667.65	1.51	339.21	0.0	3.69	-6.05	372.51
1980	2	23	12	37670.4	1.0	339.65	0.0	3.78	-7.56	335.57
1980	2	24	12	38016.0	0.4	437.49	0.0	4.69	-11.83	262.01
1980	2	25	12	38016.0	0.01	418.39	0.0	5.61	-10.03	286.95
1980	2	26	12	38361.6	0.08	384.15	0.0	6.66	-5.49	388.03
1980	2	27	12	38537.21	0.05	345.7	0.0	6.86	-3.49	444.75
1980	2	28	12	38707.2	9.24	340.28	0.0	6.98	-4.36	437.35
1980	2	29	12	39052.8	4.63	398.45	0.0	6.19	-4.63	385.19
1980	3	1	12	39052.8	0.02	459.63	0.0	7.03	-8.63	333.0
1980	3	2	12	39398.4	1.0	375.33	0.0	9.05	-7.79	339.78
1980	3	3	12	39398.4	9.52	355.63	0.0	8.19	-7.64	332.14
1980	3	4	12	39744.0	17.39	347.48	0.0	3.45	-8.42	317.86
1980	3	5	12	40003.76	11.29	287.25	0.0	1.84	-9.59	286.06
1980	3	6	12	40089.6	4.22	293.47	0.0	-2.29	-10.13	267.44
1980	3	7	12	40435.2	2.2	320.93	0.0	-0.83	-9.05	286.58
1980	3	8	12	40435.2	3.09	336.85	0.0	1.16	-7.57	323.94
1980	3	9	12	40780.8	5.75	313.93	0.0	1.8	-5.44	374.63
1980	3	10	12	40860.0	6.54	329.05	0.0	3.22	-4.7	408.23
1980	3	11	12	41126.4	5.63	345.19	0.0	5.15	-3.67	432.7
1980	3	12	12	41472.0	5.75	331.58	0.0	4.0	-6.23	369.74
1980	3	13	12	41472.0	7.06	332.42	0.0	1.27	-6.27	363.49
1980	3	14	12	41817.6	13.79	327.88	0.0	2.79	-4.6	393.33
1980	3	15	12	41817.6	8.92	373.07	0.0	2.54	-7.8	329.06
1980	3	16	12	42163.2	10.08	361.93	0.0	1.25	-8.56	296.26
1980	3	17	12	42508.8	7.24	388.01	0.0	0.78	-10.1	275.78
1980	3	18	12	42508.8	3.78	382.07	0.0	2.1	-7.75	326.36
1980	3	19	12	42854.4	1.27	332.59	0.0	2.8	-4.09	398.71
1980	3	20	12	42854.4	0.09	481.65	0.0	4.92	-8.04	342.23
1980	3	21	12	43200.0	0.01	519.78	0.0	8.16	-5.69	383.78
1980	3	22	12	43545.6	0.81	409.49	0.0	7.0	-5.46	399.06
1980	3	23	12	43545.6	2.15	400.32	0.0	5.92	-4.87	402.12
1980	3	24	12	43891.2	1.46	400.31	0.0	4.55	-6.82	339.21
1980	3	25	12	43891.2	0.3	542.46	0.0	3.34	-12.17	245.18
