,basin_id,classif,lon,lat
0,1048000,mixed,-69.9392,44.7072
1,1197500,mixed,-73.3553,42.2319
2,1200000,short,-73.5289,41.6589
3,1445000,mixed,-74.7767,40.9811
4,1445500,mixed,-74.9786,40.8306
5,1500500,mixed,-75.3169,42.3214
6,1503000,mixed,-75.8033,42.0353
7,1512500,mixed,-75.8486,42.2181
8,1541500,mixed,-78.4061,40.9717
9,1556000,mixed,-78.2,40.4631
10,1559000,short,-78.0192,40.4847
11,1628500,mixed,-78.755,38.3225
12,1643000,short,-77.3661,39.3869
13,1664000,short,-77.8139,38.5306
14,1667500,short,-77.9753,38.3503
15,1668000,short,-77.5181,38.3222
16,1674500,long,-77.1633,37.8878
17,2016000,short,-79.7597,37.7917
18,2018000,short,-79.9117,37.6658
19,2030500,short,-78.3778,37.7028
20,2055000,short,-79.9389,37.2583
21,2083500,long,-77.5333,35.8939
22,2126000,short,-80.1758,35.1483
23,2135000,long,-79.2472,34.0569
24,2202500,long,-81.4161,32.1914
25,2219500,mixed,-83.3494,33.6086
26,2228000,long,-81.8675,31.2211
27,2296750,long,-81.8761,27.2219
28,2329000,long,-84.3842,30.5539
29,2349500,long,-84.0439,32.2981
30,2365500,long,-85.8278,30.7756
31,2375500,long,-87.2342,30.965
32,2387000,long,-84.9283,34.6667
33,2387500,long,-84.9414,34.5783
34,2456500,mixed,-86.9833,33.7097
35,2472000,mixed,-89.4069,31.7069
36,2475000,long,-88.8083,31.1028
37,2478500,long,-88.5478,31.1483
38,2482000,long,-89.335,32.7983
39,3011020,mixed,-78.7156,42.1564
40,3020500,mixed,-79.6956,41.4817
41,3024000,mixed,-79.9561,41.4375
42,3032500,mixed,-79.3944,40.9944
43,3050500,short,-79.8792,38.925
44,3051000,mixed,-79.9361,39.0292
45,3069500,short,-79.6806,39.1222
46,3070000,short,-79.6656,39.3467
47,3109500,short,-80.5408,40.6758
48,3111500,mixed,-80.7344,40.1933
49,3114500,short,-80.9972,39.475
50,3155500,short,-81.2778,39.1194
51,3161000,short,-81.4072,36.3931
52,3164000,short,-80.9792,36.6472
53,3167000,short,-80.8869,36.9394
54,3173000,short,-80.7097,37.2681
55,3175500,short,-80.85,37.3056
56,3198500,short,-81.7117,38.1797
57,3199000,short,-81.8364,38.0797
58,3213000,short,-81.8439,37.4856
59,3265000,short,-84.3561,40.0578
60,3266000,mixed,-84.2825,39.8694
61,3281500,short,-83.6772,37.4792
62,3301500,long,-85.7039,37.7672
63,3303000,short,-86.2283,38.2375
64,3331500,long,-86.5636,41.1572
65,3339500,short,-86.8994,40.0489
66,3365500,mixed,-85.8992,38.9825
67,3381500,long,-88.1597,38.0611
68,3410500,short,-84.5333,36.6269
69,3438000,short,-87.7217,36.7778
70,3451500,short,-82.5786,35.6092
71,3465500,short,-82.4575,36.1764
72,3473000,short,-81.8442,36.6517
73,3512000,short,-83.3536,35.4614
74,3521500,short,-81.7811,37.0861
75,3528000,mixed,-83.3983,36.425
76,3531500,short,-83.095,36.6619
77,3532000,mixed,-83.6303,36.5417
78,3540500,short,-84.5581,35.9831
79,3550000,short,-83.9806,35.1389
80,3567500,mixed,-85.2075,35.0139
81,3603000,long,-87.7431,35.93
82,4073500,long,-88.9522,43.9539
83,4079000,mixed,-88.7403,44.3922
84,4113000,mixed,-84.5553,42.7506
85,4164000,short,-82.9514,42.5772
86,4176500,mixed,-83.5311,41.9606
87,4178000,mixed,-84.8017,41.3856
88,4183500,mixed,-84.7444,41.1989
89,4185000,long,-84.4297,41.5044
90,5053000,mixed,-96.7833,46.4681
91,5280000,long,-93.7339,45.0867
92,5430500,long,-89.0706,42.6092
93,5479000,long,-94.1917,42.7239
94,5514500,short,-90.9833,39.0164
95,5515500,mixed,-86.7011,41.4
96,5517000,long,-86.6206,41.3028
97,5517500,long,-86.9644,41.2214
98,5518000,long,-87.3425,41.1828
99,5520500,mixed,-87.6686,41.16
100,5526000,long,-87.8242,41.0089
101,6191500,snow,-110.7936,45.1119
