GAGE_ID,LAT,LONG,p_mean,pet_mean,geol_permeability,max_water_content,sand_frac,water_frac,lai_diff,gvf_max,gvf_diff,area,aridity,elev_mean,slope_mean,clay_frac,soil_depth_pelletier,frac_forest,lai_max,soil_conductivity
1013500,47.23739,-68.58264,3.126678987,1.971554511,-14.7019,0.558054827,27.84182729,5.37669779,3.340731859,0.80456742,0.371648163,2252.7,0.630558659,250.31,21.64152,16.27573172,7.404761905,0.9063,4.167303946,1.106522476
1022500,44.60797,-67.93524,3.608125941,2.119255948,-14.2138,0.626228878,59.39015616,1.226912672,3.746691616,0.863935769,0.337712462,573.6,0.587356423,92.68,17.79072,12.03764581,17.41280788,0.9232,4.871392439,2.375005063
1030500,45.50097,-68.30596,3.274405202,2.043593566,-14.4918,0.653019781,32.23545843,1.634344862,3.665542964,0.858502041,0.35139339,3676.17,0.624111385,143.8,12.79195,14.77682378,19.01141439,0.8782,4.685199719,1.289807346
1031500,45.17501,-69.3147,3.522956879,2.071323696,-14.841,0.55912272,35.26903044,0.674593581,3.990843406,0.870668492,0.398619402,769.05,0.58795034,247.8,29.56035,12.65412532,7.252557042,0.9548,4.903259373,1.37329168
1047000,44.8692,-69.9551,3.323145791,2.090023874,-14.4819,0.561180826,55.16313347,0,4.300978387,0.891382765,0.445473208,909.1,0.628929336,310.38,49.92122,10.3036221,5.359654944,0.9906,5.086810765,2.615154283
1052500,44.87739,-71.05749,3.730858316,2.096423231,-15.1658,0.615537987,30.55766622,0,4.1243127,0.880034058,0.47732793,383.82,0.561914459,615.7,60.05183,11.14332601,1.301349325,1,4.800829962,1.262995374
1054200,44.39044,-70.97964,4.067132101,2.128355058,-14.2147,0.594525958,58.37616918,0,4.28355132,0.886711471,0.455084305,180.98,0.523306105,472.31,90.13951,9.851261621,0.914754098,1,5.019827283,2.919142483
1055000,44.64275,-70.58878,3.494183436,2.093235291,-14.3578,0.547020627,53.86201109,0,4.31922587,0.886163454,0.471431452,250.64,0.599062794,423.12,72.81304,10.34632347,2.127058824,0.9916,5.030032987,2.550001259
1057000,44.30399,-70.53968,3.570499658,2.132743778,-13.9903,0.617100213,69.00673809,0,4.587077127,0.905510481,0.458742009,190.92,0.597323619,215.59,32.68445,7.817564975,3.759146341,0.9415,5.362948699,4.030392332
1073000,43.1487,-70.96506,3.503025325,2.207615715,-14.1,0.510061723,56.57096131,0,4.035087976,0.841420652,0.379144183,31.3,0.630202614,37.67,4.75043,9.967266116,19.90909091,0.9008,4.943949743,2.948670506
1078000,43.56646,-71.74786,3.562888433,2.184144572,-14.1061,0.618975203,69.15740644,0,4.505298773,0.898650643,0.424911376,222.46,0.613026373,346.92,49.77182,7.848279334,3.639784946,0.9873,5.391687137,4.025400765
1118300,41.47482,-71.83424,3.897430527,2.310036975,-14.1,0.59176261,60.60784181,0,4.807568587,0.911301526,0.469205885,10.36,0.592707672,36.7,8.76539,9.27338817,12.92,0.933,5.582120612,3.271004515
1121000,41.84371,-72.16897,3.719590691,2.301408433,-14.1,0.565559309,55.81394753,0,4.823193253,0.908561005,0.497627232,70.25,0.618726259,141.54,16.99385,9.166663022,8.962264151,0.9652,5.434685119,3.068217977
1123000,41.67177,-72.0523,3.8242423,2.306333525,-14.1,0.533849747,52.74689479,0,4.806143702,0.907407231,0.506890048,77.85,0.603082479,120.1,17.14893,8.689368206,9.085106383,0.9141,5.403096653,3.079459536
1134500,44.51172,-71.83731,3.467412731,2.091698084,-14.1198,0.476766758,42.58599324,0,4.273606729,0.886216249,0.476794083,195.13,0.603244622,450.54,47.54354,12.7242065,4.074074074,0.9963,4.930550384,1.755953065
1137500,44.26867,-71.63036,3.98419165,2.144045982,-14.1,0.475731839,53.80058342,0,3.658222608,0.865791461,0.393542621,228.55,0.538138265,784.85,110.13062,8.728078551,1.561097257,0.9972,4.541467702,2.777689532
1139000,44.15034,-72.06509,3.13454757,2.113980287,-12.922,0.56363263,44.45661527,0,4.389500633,0.880091527,0.467340843,246.33,0.67441321,373.34,43.10796,13.2940923,3.75,0.9737,5.069473862,1.886761448
1139800,44.09284,-72.33565,3.3035154,2.127185339,-11.8,0.517910739,45.31480455,0,4.633122171,0.899032856,0.526026716,22.8,0.643915672,518.15,40.99895,13.09817577,2.510638298,1,5.213125842,1.936255362
1142500,43.93451,-72.65788,3.314670773,2.147046776,-12.5655,0.622479307,43.40659614,0,4.237053137,0.884819537,0.493403982,82.17,0.647740582,346.62,46.92575,14.43857614,2.876811594,0.9799,4.886291991,1.778642926
1144000,43.71424,-72.41815,3.420859685,2.157740342,-13.3802,0.566679606,44.9595193,0,4.495081274,0.897221568,0.492946827,1790.24,0.630759675,459.8,60.29261,13.08239523,2.106799451,0.9813,5.164034451,1.876624414
1162500,42.68259,-72.11508,3.783534565,2.257490363,-14.1,0.604397082,65.4867641,0,4.149711912,0.884472664,0.33293526,49.71,0.596661752,310.07,18.45782,8.775571804,9.323076923,0.9663,5.402681684,3.658027998
1169000,42.63842,-72.72509,3.921166324,2.252516537,-14.2609,0.513362707,42.5077621,0,4.606850213,0.904142372,0.45568448,230.64,0.574450648,374.89,49.54362,12.69671129,3.955613577,0.997,5.378126057,1.70345681
